Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3;cluster
1.904;0.200;243.600;8.000;0.000;5.000;18.0;1
2.308;0.048;242.650;9.400;0.000;0.000;0.0;6
1.236;0.000;237.380;5.200;0.000;0.000;17.0;8
0.25;0.056;245.210;1.200;0.000;0.000;0.0;0
1.752;0.176;236.030;7.400;0.000;0.000;17.0;8
1.244;0.000;233.120;5.200;0.000;0.000;0.0;6
0.238;0.000;242.690;1.000;0.000;0.000;0.0;0
0.914;0.082;238.830;4.000;0.000;0.000;0.0;0
1.894;0.484;243.520;8.000;0.000;2.000;0.0;6
1.502;0.000;240.440;6.400;0.000;0.000;18.0;8
0.212;0.000;238.460;0.800;0.000;0.000;0.0;0
4.608;0.000;233.500;20.000;32.000;0.000;17.0;5
0.266;0.000;241.810;1.200;0.000;0.000;0.0;0
2.466;0.104;235.950;10.400;0.000;0.000;0.0;6
0.264;0.050;246.350;1.200;0.000;1.000;0.0;0
0.312;0.090;241.110;1.400;0.000;0.000;0.0;0
0.68;0.048;238.540;2.800;0.000;0.000;0.0;0
1.392;0.352;234.290;7.600;0.000;0.000;0.0;6
3.7;0.066;239.450;15.400;38.000;1.000;18.0;5
0.322;0.120;241.200;1.400;0.000;0.000;0.0;0
2.458;0.190;241.310;10.600;37.000;1.000;0.0;7
3.484;0.222;238.430;14.600;0.000;1.000;17.0;1
3.82;0.554;234.120;16.600;0.000;21.000;16.0;7
1.882;0.000;243.620;7.800;0.000;0.000;18.0;8
0.222;0.000;244.910;1.000;0.000;0.000;0.0;0
0.388;0.226;241.490;1.800;0.000;0.000;0.0;0
0.224;0.000;244.210;1.000;0.000;0.000;0.0;0
1.588;0.128;242.010;6.600;0.000;2.000;0.0;6
2.298;0.000;240.070;9.400;0.000;0.000;0.0;6
1.468;0.090;239.600;6.000;0.000;0.000;18.0;8
3.376;0.234;236.810;14.200;0.000;1.000;17.0;1
1.378;0.094;238.760;5.800;0.000;0.000;18.0;8
3.532;0.156;238.750;14.800;0.000;0.000;18.0;1
0.31;0.096;241.700;1.400;0.000;0.000;0.0;0
3.792;0.362;236.770;16.400;1.000;32.000;17.0;2
2.362;0.070;240.100;9.800;0.000;1.000;0.0;6
1.578;0.064;234.660;6.600;0.000;0.000;0.0;6
3.002;0.862;235.090;13.400;0.000;1.000;17.0;1
1.84;0.110;243.630;7.600;2.000;0.000;18.0;8
0.362;0.208;240.580;1.600;0.000;1.000;0.0;0
0.442;0.168;245.910;1.800;0.000;0.000;0.0;0
0.354;0.224;239.110;1.800;0.000;0.000;0.0;0
2.892;0.282;234.560;12.400;0.000;0.000;17.0;1
0.386;0.000;246.200;1.600;0.000;0.000;0.0;0
3.184;0.088;238.560;13.200;0.000;0.000;18.0;1
0.298;0.076;242.090;1.200;0.000;0.000;0.0;0
0.202;0.118;243.480;1.000;0.000;0.000;0.0;0
0.252;0.000;243.550;1.000;0.000;0.000;0.0;0
0.384;0.232;242.260;1.800;0.000;0.000;0.0;0
4.034;0.330;238.120;17.000;0.000;2.000;0.0;6
0.182;0.000;240.270;0.800;0.000;0.000;0.0;0
2.584;0.336;240.450;11.400;0.000;0.000;0.0;6
1.458;0.092;236.750;6.000;0.000;0.000;17.0;8
0.25;0.048;240.240;1.000;0.000;0.000;0.0;0
2.904;0.242;235.330;13.000;8.000;5.000;17.0;1
8.106;0.286;231.660;35.000;1.000;70.000;17.0;4
2.284;0.000;239.330;9.400;0.000;0.000;0.0;6
0.398;0.110;242.520;1.800;0.000;0.000;0.0;0
0.206;0.000;241.240;0.800;0.000;0.000;0.0;0
0.334;0.182;243.170;1.600;0.000;0.000;0.0;0
1.868;0.000;240.120;7.800;0.000;0.000;18.0;8
2.118;0.000;241.260;8.600;2.000;0.000;17.0;8
1.636;0.138;242.210;6.800;0.000;0.000;0.0;6
1.254;0.162;236.760;5.400;0.000;0.000;0.0;6
0.304;0.096;243.180;1.200;0.000;0.000;0.0;0
0.518;0.108;239.540;2.400;0.000;0.000;0.0;0
6.146;0.182;232.770;26.600;36.000;0.000;16.0;5
0.318;0.132;243.670;1.400;0.000;2.000;0.0;0
2.188;0.282;241.960;9.000;0.000;0.000;18.0;8
1.0;0.310;240.390;4.400;0.000;1.000;0.0;0
0.358;0.182;241.030;1.600;0.000;1.000;0.0;0
0.294;0.100;243.300;1.200;0.000;0.000;0.0;0
1.654;0.000;239.550;6.800;1.000;0.000;17.0;8
2.55;0.164;243.030;10.400;0.000;0.000;0.0;6
1.444;0.196;237.270;6.000;0.000;0.000;18.0;8
0.396;0.252;242.450;1.800;0.000;0.000;0.0;0
0.202;0.000;244.960;0.800;0.000;0.000;0.0;0
1.366;0.000;239.680;5.600;0.000;0.000;18.0;8
2.706;0.074;241.100;11.200;0.000;0.000;18.0;1
0.212;0.000;236.930;0.800;0.000;0.000;0.0;0
4.544;0.472;241.570;18.800;40.000;0.000;0.0;7
0.38;0.214;239.300;1.800;0.000;0.000;0.0;0
0.422;0.294;241.640;2.000;0.000;0.000;0.0;0
0.29;0.102;243.370;1.200;0.000;2.000;0.0;0
1.632;0.074;234.190;7.000;0.000;0.000;17.0;8
3.718;0.132;238.640;15.600;0.000;36.000;18.0;2
1.298;0.150;240.980;5.400;0.000;0.000;0.0;0
2.716;0.000;238.790;11.200;0.000;0.000;18.0;1
4.972;0.324;234.660;21.200;38.000;0.000;17.0;5
0.38;0.108;243.260;1.600;1.000;0.000;0.0;0
0.3;0.102;240.030;1.400;0.000;2.000;0.0;0
3.666;0.174;237.780;15.400;0.000;36.000;18.0;2
0.22;0.136;239.850;1.000;0.000;0.000;0.0;0
0.296;0.092;244.410;1.200;0.000;0.000;0.0;0
0.462;0.332;238.850;2.400;0.000;1.000;0.0;0
0.738;0.000;244.400;3.000;0.000;0.000;0.0;0
0.31;0.262;241.540;1.600;0.000;1.000;0.0;0
5.992;0.000;235.360;25.600;0.000;0.000;17.0;5
1.502;0.186;242.490;6.200;0.000;0.000;18.0;8
1.132;0.000;234.340;4.800;0.000;0.000;17.0;8
0.312;0.146;243.520;1.400;0.000;0.000;0.0;0
3.134;0.524;233.530;13.600;0.000;1.000;0.0;6
3.47;0.050;240.050;14.600;0.000;24.000;17.0;7
0.24;0.000;242.420;1.000;0.000;0.000;0.0;0
0.264;0.000;239.500;1.000;0.000;0.000;0.0;0
0.508;0.138;244.850;2.400;0.000;1.000;0.0;0
5.714;0.242;231.990;24.600;37.000;36.000;16.0;2
1.762;0.222;237.490;7.400;0.000;0.000;17.0;8
2.676;0.120;234.710;11.400;0.000;0.000;17.0;1
1.434;0.198;236.620;6.000;0.000;0.000;17.0;8
1.226;0.284;237.040;5.200;0.000;1.000;0.0;6
0.316;0.172;244.550;1.400;0.000;0.000;0.0;0
0.726;0.186;243.320;3.000;0.000;1.000;0.0;0
0.43;0.000;245.150;2.000;0.000;0.000;0.0;0
2.904;0.344;239.220;12.200;39.000;0.000;0.0;7
0.22;0.000;242.860;0.800;0.000;0.000;0.0;0
0.302;0.102;241.320;1.200;0.000;1.000;0.0;0
1.428;0.000;240.030;6.000;1.000;0.000;0.0;6
1.85;0.296;235.710;7.800;0.000;2.000;17.0;8
0.16;0.000;239.230;0.600;0.000;0.000;0.0;0
1.296;0.000;241.830;5.200;0.000;0.000;18.0;8
0.338;0.120;240.770;1.400;0.000;1.000;0.0;0
1.304;0.000;237.750;5.400;0.000;0.000;18.0;8
2.364;0.068;240.540;9.800;0.000;0.000;0.0;6
0.23;0.000;242.500;1.000;0.000;0.000;0.0;0
0.472;0.188;241.600;2.200;0.000;0.000;0.0;0
1.348;0.000;245.540;5.400;0.000;0.000;19.0;8
0.224;0.132;239.990;1.000;0.000;0.000;0.0;0
0.258;0.048;242.560;1.200;0.000;0.000;0.0;0
1.626;0.270;241.760;6.800;0.000;18.000;0.0;7
2.448;0.108;240.030;10.200;0.000;1.000;0.0;6
0.296;0.072;239.230;1.200;0.000;0.000;0.0;0
0.226;0.000;241.230;1.000;0.000;0.000;0.0;0
1.672;0.076;240.170;7.000;0.000;0.000;18.0;8
1.336;0.120;239.110;5.600;0.000;1.000;17.0;8
0.3;0.134;242.750;1.400;0.000;0.000;0.0;0
1.314;0.000;241.600;5.400;0.000;0.000;18.0;8
0.95;0.000;236.350;4.200;0.000;1.000;0.0;6
0.338;0.144;245.540;1.400;0.000;0.000;0.0;0
0.412;0.266;244.250;2.000;0.000;1.000;0.0;0
0.224;0.000;242.590;1.000;0.000;0.000;0.0;0
0.324;0.132;243.310;1.400;0.000;0.000;0.0;0
0.316;0.000;244.950;1.400;0.000;0.000;0.0;0
2.092;0.190;237.850;8.800;0.000;0.000;18.0;8
2.282;0.252;241.150;9.400;0.000;0.000;18.0;8
0.288;0.088;240.630;1.200;0.000;0.000;0.0;0
0.346;0.184;240.920;1.600;0.000;0.000;0.0;0
1.288;0.000;241.460;5.200;0.000;0.000;0.0;0
0.308;0.132;245.750;1.400;0.000;1.000;0.0;0
1.428;0.200;238.380;6.000;0.000;0.000;17.0;8
0.214;0.000;244.830;0.800;0.000;0.000;0.0;0
0.216;0.000;244.530;1.000;0.000;0.000;0.0;0
0.124;0.000;240.850;0.600;0.000;0.000;0.0;0
0.21;0.000;241.500;1.000;0.000;0.000;0.0;0
0.292;0.078;242.700;1.200;0.000;0.000;0.0;0
2.876;0.132;237.070;12.000;0.000;0.000;18.0;1
1.888;0.518;238.730;8.200;0.000;1.000;18.0;8
0.418;0.232;240.130;2.000;0.000;0.000;0.0;0
2.79;0.000;238.550;11.600;0.000;0.000;17.0;1
1.372;0.100;239.630;5.600;0.000;0.000;17.0;8
0.248;0.000;244.010;1.000;0.000;0.000;0.0;0
0.626;0.442;241.780;3.200;0.000;0.000;0.0;0
1.42;0.082;239.810;5.800;0.000;0.000;18.0;8
1.224;0.112;240.300;6.200;0.000;0.000;0.0;6
0.294;0.000;240.950;1.400;0.000;0.000;0.0;0
1.274;0.188;232.400;5.400;0.000;1.000;17.0;8
0.33;0.184;232.400;1.600;0.000;1.000;0.0;0
0.318;0.110;238.980;1.400;0.000;0.000;0.0;0
1.234;0.076;235.570;5.200;0.000;0.000;17.0;8
2.426;0.144;244.220;9.800;0.000;0.000;19.0;8
3.312;0.238;239.580;14.000;0.000;27.000;18.0;2
1.532;0.070;237.140;6.400;0.000;0.000;18.0;8
2.356;0.000;236.330;9.800;0.000;1.000;0.0;6
3.152;0.388;241.030;13.200;0.000;21.000;17.0;7
0.216;0.000;239.680;0.800;0.000;0.000;0.0;0
1.296;0.142;240.490;5.400;0.000;1.000;0.0;6
2.1;0.190;241.280;8.600;0.000;0.000;18.0;8
0.214;0.000;239.900;0.800;0.000;0.000;0.0;0
0.266;0.000;242.330;1.200;0.000;0.000;0.0;0
0.428;0.204;238.880;2.000;0.000;0.000;0.0;0
0.92;0.058;240.750;3.800;0.000;0.000;0.0;0
3.05;0.392;238.280;13.000;0.000;0.000;18.0;1
1.376;0.000;243.110;7.200;0.000;0.000;0.0;6
0.318;0.070;242.100;1.400;0.000;2.000;0.0;0
0.244;0.000;244.980;1.000;0.000;0.000;0.0;0
4.516;0.630;236.020;19.200;38.000;0.000;0.0;7
0.666;0.148;239.840;3.000;0.000;2.000;0.0;0
1.066;0.096;239.950;4.400;0.000;1.000;0.0;0
0.218;0.000;242.080;0.800;0.000;0.000;0.0;0
0.482;0.132;242.100;2.000;0.000;1.000;0.0;0
1.382;0.114;241.910;5.600;0.000;2.000;18.0;8
2.86;0.178;240.650;11.800;0.000;1.000;18.0;1
2.424;0.202;238.320;10.200;0.000;0.000;0.0;6
2.364;0.086;240.730;9.800;0.000;1.000;0.0;6
0.256;0.000;241.870;1.200;0.000;0.000;0.0;0
0.3;0.120;247.160;1.200;0.000;0.000;0.0;0
1.806;0.120;242.070;7.400;0.000;1.000;18.0;8
1.84;0.106;239.780;7.800;0.000;2.000;17.0;8
1.366;0.000;238.670;5.600;1.000;0.000;17.0;8
1.462;0.226;240.650;6.000;0.000;1.000;18.0;8
2.294;0.048;239.040;9.600;0.000;0.000;0.0;6
1.364;0.000;241.070;5.600;1.000;0.000;18.0;8
3.26;0.000;234.440;14.000;0.000;19.000;17.0;7
1.296;0.174;238.670;5.400;0.000;1.000;0.0;6
0.212;0.122;239.730;1.000;0.000;2.000;0.0;0
0.796;0.000;237.810;3.600;0.000;0.000;0.0;0
1.448;0.164;245.580;5.800;0.000;0.000;19.0;8
2.122;0.048;235.810;9.000;0.000;0.000;17.0;8
0.452;0.084;241.700;2.000;0.000;0.000;0.0;0
0.322;0.150;244.380;1.400;0.000;0.000;0.0;0
2.28;0.000;239.770;9.400;0.000;0.000;0.0;6
3.468;0.106;237.980;14.400;0.000;0.000;17.0;1
0.32;0.124;241.520;1.400;0.000;0.000;0.0;0
0.518;0.068;239.800;2.200;0.000;0.000;0.0;0
0.424;0.254;241.780;2.000;0.000;1.000;0.0;0
1.4;0.090;241.940;5.800;0.000;0.000;18.0;8
0.23;0.000;244.640;1.000;0.000;0.000;0.0;0
3.202;0.246;233.720;13.800;0.000;0.000;17.0;1
0.118;0.000;243.050;0.600;0.000;0.000;0.0;0
0.31;0.068;241.910;1.200;0.000;1.000;0.0;0
1.498;0.222;238.810;6.200;0.000;1.000;17.0;8
3.744;0.186;238.470;15.600;0.000;1.000;0.0;6
5.606;0.496;231.700;24.200;0.000;34.000;17.0;2
4.172;0.510;239.440;17.400;0.000;2.000;0.0;6
0.228;0.000;243.640;1.000;0.000;0.000;0.0;0
2.256;0.000;239.650;9.400;0.000;0.000;18.0;8
0.216;0.000;240.650;0.800;0.000;0.000;0.0;0
0.27;0.000;245.460;1.200;0.000;0.000;0.0;0
3.516;0.098;236.250;14.800;0.000;1.000;17.0;1
2.81;0.150;236.560;11.800;0.000;0.000;17.0;1
0.336;0.120;240.130;1.400;0.000;1.000;0.0;0
0.396;0.270;243.160;2.000;0.000;0.000;0.0;0
0.528;0.086;239.860;2.600;0.000;0.000;0.0;0
0.314;0.148;244.590;1.400;0.000;0.000;0.0;0
1.364;0.000;239.420;5.600;0.000;0.000;17.0;8
1.978;0.120;238.070;8.400;0.000;0.000;17.0;8
0.77;0.350;241.420;3.400;0.000;1.000;0.0;0
5.262;0.408;238.300;22.200;0.000;0.000;18.0;1
0.408;0.068;237.960;1.800;0.000;0.000;0.0;0
2.858;0.000;244.390;11.600;0.000;1.000;18.0;1
0.61;0.162;238.300;2.800;0.000;0.000;0.0;0
2.96;0.214;231.470;13.000;0.000;6.000;17.0;1
0.378;0.000;244.620;1.600;0.000;0.000;0.0;0
0.308;0.162;243.100;1.400;0.000;0.000;0.0;0
0.51;0.052;234.740;2.200;0.000;0.000;0.0;0
0.348;0.194;245.180;1.600;0.000;0.000;0.0;0
0.306;0.114;242.930;1.400;0.000;2.000;0.0;0
0.222;0.046;246.620;1.000;0.000;0.000;0.0;0
0.376;0.208;237.920;1.800;0.000;0.000;0.0;0
0.574;0.000;247.280;4.000;0.000;0.000;0.0;0
0.388;0.122;240.530;1.600;0.000;2.000;0.0;0
2.008;0.284;244.500;8.200;0.000;2.000;18.0;8
0.418;0.194;242.480;1.800;0.000;1.000;0.0;0
2.674;0.064;236.240;11.200;0.000;2.000;17.0;1
1.346;0.000;246.600;5.400;0.000;0.000;16.0;8
5.9;0.000;232.420;25.200;37.000;0.000;17.0;5
0.38;0.000;244.620;1.600;0.000;0.000;0.0;0
0.818;0.100;239.340;3.400;0.000;0.000;0.0;0
1.474;0.110;239.960;6.000;0.000;0.000;17.0;8
1.95;0.214;239.560;8.200;0.000;2.000;16.0;8
0.422;0.228;242.260;2.000;0.000;0.000;0.0;0
0.31;0.116;246.710;1.400;0.000;0.000;0.0;0
0.284;0.112;243.940;1.200;0.000;2.000;0.0;0
2.294;0.000;240.520;9.400;0.000;0.000;0.0;6
0.124;0.000;237.830;0.600;0.000;0.000;0.0;0
0.298;0.074;240.020;1.200;0.000;0.000;0.0;0
1.558;0.230;240.650;6.600;0.000;0.000;18.0;8
0.264;0.000;241.190;1.200;0.000;0.000;0.0;0
0.232;0.138;241.650;1.000;0.000;0.000;0.0;0
1.936;0.088;239.720;8.800;0.000;1.000;0.0;6
0.326;0.130;243.240;1.400;0.000;0.000;0.0;0
0.688;0.104;242.110;2.800;0.000;1.000;0.0;0
0.43;0.166;246.140;1.800;0.000;0.000;0.0;0
3.432;0.100;237.490;14.400;0.000;1.000;17.0;1
0.33;0.166;240.450;1.600;0.000;0.000;0.0;0
0.306;0.112;238.070;1.400;0.000;0.000;0.0;0
0.214;0.000;243.210;1.000;0.000;0.000;0.0;0
2.478;0.114;243.680;10.200;0.000;18.000;19.0;7
0.47;0.000;239.110;2.000;0.000;0.000;0.0;0
0.64;0.230;238.110;2.800;0.000;1.000;0.0;0
0.214;0.000;240.020;0.800;0.000;0.000;0.0;0
3.83;0.000;236.150;16.200;37.000;0.000;17.0;5
1.424;0.138;242.410;5.800;0.000;0.000;18.0;8
0.354;0.148;243.440;1.600;0.000;0.000;0.0;0
1.52;0.156;243.680;6.200;0.000;0.000;18.0;8
5.638;0.246;235.290;24.000;37.000;17.000;17.0;2
0.316;0.000;239.840;1.400;0.000;0.000;0.0;0
